,trade_index,asset,lot,begin_date,end_date,unit
66,33,8031,-1,2001-06-01,2001-06-30,price
67,33,7974,-1,2001-06-01,2001-06-30,price
68,34,6981,1,2001-07-01,2001-07-31,price
69,34,6758,1,2001-07-01,2001-07-31,price
70,35,8031,-1,2001-07-01,2001-07-31,price
71,35,7267,-1,2001-07-01,2001-07-31,price
72,36,6758,1,2001-08-01,2001-08-31,price
73,36,6861,1,2001-08-01,2001-08-31,price
74,37,7267,-1,2001-08-01,2001-08-31,price
75,37,2914,-1,2001-08-01,2001-08-31,price
76,38,7267,1,2001-09-01,2001-09-30,price
77,38,7751,1,2001-09-01,2001-09-30,price
78,39,9020,-1,2001-09-01,2001-09-30,price
79,39,8802,-1,2001-09-01,2001-09-30,price
80,40,6752,1,2001-10-01,2001-10-31,price
81,40,6501,1,2001-10-01,2001-10-31,price
82,41,4503,-1,2001-10-01,2001-10-31,price
83,41,9022,-1,2001-10-01,2001-10-31,price
84,42,7203,1,2001-11-01,2001-11-30,price
85,42,2914,1,2001-11-01,2001-11-30,price
86,43,6981,-1,2001-11-01,2001-11-30,price
87,43,4503,-1,2001-11-01,2001-11-30,price
88,44,8802,1,2001-12-01,2001-12-31,price
89,44,4452,1,2001-12-01,2001-12-31,price
90,45,7751,-1,2001-12-01,2001-12-31,price
91,45,6758,-1,2001-12-01,2001-12-31,price
92,46,8802,1,2002-01-01,2002-01-31,price
93,46,8031,1,2002-01-01,2002-01-31,price
94,47,7751,-1,2002-01-01,2002-01-31,price
95,47,7267,-1,2002-01-01,2002-01-31,price
96,48,7974,1,2002-02-01,2002-02-28,price
97,48,8802,1,2002-02-01,2002-02-28,price
98,49,8031,-1,2002-02-01,2002-02-28,price
99,49,7203,-1,2002-02-01,2002-02-28,price
100,50,9020,1,2002-03-01,2002-03-31,price
101,50,6752,1,2002-03-01,2002-03-31,price
102,51,6861,-1,2002-03-01,2002-03-31,price
103,51,6954,-1,2002-03-01,2002-03-31,price
104,52,4503,1,2002-04-01,2002-04-30,price
105,52,4502,1,2002-04-01,2002-04-30,price
106,53,6758,-1,2002-04-01,2002-04-30,price
107,53,6501,-1,2002-04-01,2002-04-30,price
108,54,7974,1,2002-05-01,2002-05-31,price
109,54,7203,1,2002-05-01,2002-05-31,price
110,55,8031,-1,2002-05-01,2002-05-31,price
111,55,4503,-1,2002-05-01,2002-05-31,price
112,56,7267,1,2002-06-01,2002-06-30,price
113,56,6954,1,2002-06-01,2002-06-30,price
114,57,4452,-1,2002-06-01,2002-06-30,price
115,57,8802,-1,2002-06-01,2002-06-30,price
116,58,6501,1,2002-07-01,2002-07-31,price
117,58,6758,1,2002-07-01,2002-07-31,price
118,59,7974,-1,2002-07-01,2002-07-31,price
119,59,4063,-1,2002-07-01,2002-07-31,price
120,60,6981,1,2002-08-01,2002-08-31,price
121,60,8031,1,2002-08-01,2002-08-31,price
122,61,9020,-1,2002-08-01,2002-08-31,price
123,61,7267,-1,2002-08-01,2002-08-31,price
124,62,4503,1,2002-09-01,2002-09-30,price
125,62,6861,1,2002-09-01,2002-09-30,price
126,63,6981,-1,2002-09-01,2002-09-30,price
127,63,8058,-1,2002-09-01,2002-09-30,price
128,64,6752,1,2002-10-01,2002-10-31,price
129,64,6981,1,2002-10-01,2002-10-31,price
130,65,7203,-1,2002-10-01,2002-10-31,price
131,65,8802,-1,2002-10-01,2002-10-31,price
132,66,6501,1,2002-11-01,2002-11-30,price
133,66,7974,1,2002-11-01,2002-11-30,price
134,67,4503,-1,2002-11-01,2002-11-30,price
135,67,7751,-1,2002-11-01,2002-11-30,price
136,68,4452,1,2002-12-01,2002-12-31,price
137,68,6752,1,2002-12-01,2002-12-31,price
138,69,6954,-1,2002-12-01,2002-12-31,price
139,69,4063,-1,2002-12-01,2002-12-31,price
140,70,6981,1,2003-01-01,2003-01-31,price
141,70,7974,1,2003-01-01,2003-01-31,price
142,71,4503,-1,2003-01-01,2003-01-31,price
143,71,2914,-1,2003-01-01,2003-01-31,price
144,72,7974,1,2003-02-01,2003-02-28,price
145,72,7203,1,2003-02-01,2003-02-28,price
146,73,8031,-1,2003-02-01,2003-02-28,price
147,73,6501,-1,2003-02-01,2003-02-28,price
148,74,6752,1,2003-03-01,2003-03-31,price
149,74,2914,1,2003-03-01,2003-03-31,price
150,75,8031,-1,2003-03-01,2003-03-31,price
151,75,7267,-1,2003-03-01,2003-03-31,price
152,76,6501,1,2003-04-01,2003-04-30,price
153,76,8802,1,2003-04-01,2003-04-30,price
154,77,7974,-1,2003-04-01,2003-04-30,price
155,77,6861,-1,2003-04-01,2003-04-30,price
156,78,6758,1,2003-05-01,2003-05-31,price
157,78,4452,1,2003-05-01,2003-05-31,price
158,79,9022,-1,2003-05-01,2003-05-31,price
159,79,7751,-1,2003-05-01,2003-05-31,price
160,80,4452,1,2003-06-01,2003-06-30,price
161,80,8031,1,2003-06-01,2003-06-30,price
162,81,6501,-1,2003-06-01,2003-06-30,price
163,81,6752,-1,2003-06-01,2003-06-30,price
164,82,2914,1,2003-07-01,2003-07-31,price
165,82,9020,1,2003-07-01,2003-07-31,price
166,83,8058,-1,2003-07-01,2003-07-31,price
167,83,4063,-1,2003-07-01,2003-07-31,price
168,84,9022,1,2003-08-01,2003-08-31,price
169,84,4502,1,2003-08-01,2003-08-31,price
170,85,6981,-1,2003-08-01,2003-08-31,price
171,85,6752,-1,2003-08-01,2003-08-31,price
172,86,9020,1,2003-09-01,2003-09-30,price
173,86,2914,1,2003-09-01,2003-09-30,price
174,87,6501,-1,2003-09-01,2003-09-30,price
175,87,8802,-1,2003-09-01,2003-09-30,price
176,88,6981,1,2003-10-01,2003-10-31,price
177,88,6954,1,2003-10-01,2003-10-31,price
178,89,9020,-1,2003-10-01,2003-10-31,price
179,89,9022,-1,2003-10-01,2003-10-31,price
180,90,4503,1,2003-11-01,2003-11-30,price
181,90,7974,1,2003-11-01,2003-11-30,price
182,91,6981,-1,2003-11-01,2003-11-30,price
183,91,8058,-1,2003-11-01,2003-11-30,price
184,92,8058,1,2003-12-01,2003-12-31,price
185,92,9022,1,2003-12-01,2003-12-31,price
186,93,7974,-1,2003-12-01,2003-12-31,price
187,93,4503,-1,2003-12-01,2003-12-31,price
188,94,6981,1,2004-01-01,2004-01-31,price
189,94,6861,1,2004-01-01,2004-01-31,price
190,95,8058,-1,2004-01-01,2004-01-31,price
191,95,8031,-1,2004-01-01,2004-01-31,price
192,96,7267,1,2004-02-01,2004-02-29,price
193,96,8031,1,2004-02-01,2004-02-29,price
194,97,6758,-1,2004-02-01,2004-02-29,price
195,97,8802,-1,2004-02-01,2004-02-29,price
196,98,9020,1,2004-03-01,2004-03-31,price
197,98,9022,1,2004-03-01,2004-03-31,price
198,99,8802,-1,2004-03-01,2004-03-31,price
199,99,7267,-1,2004-03-01,2004-03-31,price
200,100,6954,1,2004-04-01,2004-04-30,price
201,100,9022,1,2004-04-01,2004-04-30,price
202,101,6501,-1,2004-04-01,2004-04-30,price
203,101,8058,-1,2004-04-01,2004-04-30,price
204,102,8058,1,2004-05-01,2004-05-31,price
205,102,8802,1,2004-05-01,2004-05-31,price
206,103,4452,-1,2004-05-01,2004-05-31,price
207,103,2914,-1,2004-05-01,2004-05-31,price
208,104,4063,1,2004-06-01,2004-06-30,price
209,104,6981,1,2004-06-01,2004-06-30,price
210,105,7974,-1,2004-06-01,2004-06-30,price
211,105,7267,-1,2004-06-01,2004-06-30,price
212,106,6861,1,2004-07-01,2004-07-31,price
213,106,6981,1,2004-07-01,2004-07-31,price
214,107,7203,-1,2004-07-01,2004-07-31,price
215,107,7267,-1,2004-07-01,2004-07-31,price
216,108,6501,1,2004-08-01,2004-08-31,price
217,108,6981,1,2004-08-01,2004-08-31,price
218,109,4452,-1,2004-08-01,2004-08-31,price
219,109,4502,-1,2004-08-01,2004-08-31,price
220,110,6954,1,2004-09-01,2004-09-30,price
221,110,7974,1,2004-09-01,2004-09-30,price
222,111,8058,-1,2004-09-01,2004-09-30,price
223,111,8031,-1,2004-09-01,2004-09-30,price
224,112,4452,1,2004-10-01,2004-10-31,price
225,112,8802,1,2004-10-01,2004-10-31,price
226,113,8058,-1,2004-10-01,2004-10-31,price
227,113,7974,-1,2004-10-01,2004-10-31,price
228,114,7974,1,2004-11-01,2004-11-30,price
229,114,8031,1,2004-11-01,2004-11-30,price
230,115,4503,-1,2004-11-01,2004-11-30,price
231,115,6954,-1,2004-11-01,2004-11-30,price
232,116,7203,1,2004-12-01,2004-12-31,price
233,116,7267,1,2004-12-01,2004-12-31,price
234,117,6981,-1,2004-12-01,2004-12-31,price
235,117,8058,-1,2004-12-01,2004-12-31,price
236,118,9022,1,2005-01-01,2005-01-31,price
237,118,6861,1,2005-01-01,2005-01-31,price
238,119,6981,-1,2005-01-01,2005-01-31,price
239,119,2914,-1,2005-01-01,2005-01-31,price
240,120,7974,1,2005-02-01,2005-02-28,price
241,120,8058,1,2005-02-01,2005-02-28,price
242,121,8031,-1,2005-02-01,2005-02-28,price
243,121,8802,-1,2005-02-01,2005-02-28,price
244,122,6501,1,2005-03-01,2005-03-31,price
245,122,8802,1,2005-03-01,2005-03-31,price
246,123,8031,-1,2005-03-01,2005-03-31,price
247,123,8058,-1,2005-03-01,2005-03-31,price
248,124,8031,1,2005-04-01,2005-04-30,price
249,124,4063,1,2005-04-01,2005-04-30,price
250,125,9020,-1,2005-04-01,2005-04-30,price
251,125,6758,-1,2005-04-01,2005-04-30,price
252,126,6981,1,2005-05-01,2005-05-31,price
253,126,8802,1,2005-05-01,2005-05-31,price
254,127,4503,-1,2005-05-01,2005-05-31,price
255,127,2914,-1,2005-05-01,2005-05-31,price
256,128,8031,1,2005-06-01,2005-06-30,price
257,128,7974,1,2005-06-01,2005-06-30,price
258,129,6954,-1,2005-06-01,2005-06-30,price
259,129,6981,-1,2005-06-01,2005-06-30,price
260,130,6758,1,2005-07-01,2005-07-31,price
261,130,4503,1,2005-07-01,2005-07-31,price
262,131,9020,-1,2005-07-01,2005-07-31,price
263,131,8031,-1,2005-07-01,2005-07-31,price
264,132,9022,1,2005-08-01,2005-08-31,price
265,132,7751,1,2005-08-01,2005-08-31,price
266,133,6752,-1,2005-08-01,2005-08-31,price
267,133,6954,-1,2005-08-01,2005-08-31,price
268,134,2914,1,2005-09-01,2005-09-30,price
269,134,6501,1,2005-09-01,2005-09-30,price
270,135,4503,-1,2005-09-01,2005-09-30,price
271,135,8058,-1,2005-09-01,2005-09-30,price
272,136,6758,1,2005-10-01,2005-10-31,price
273,136,6752,1,2005-10-01,2005-10-31,price
274,137,8031,-1,2005-10-01,2005-10-31,price
275,137,8058,-1,2005-10-01,2005-10-31,price
276,138,6981,1,2005-11-01,2005-11-30,price
277,138,6861,1,2005-11-01,2005-11-30,price
278,139,9022,-1,2005-11-01,2005-11-30,price
279,139,4063,-1,2005-11-01,2005-11-30,price
280,140,2914,1,2005-12-01,2005-12-31,price
281,140,8802,1,2005-12-01,2005-12-31,price
282,141,6758,-1,2005-12-01,2005-12-31,price
283,141,6981,-1,2005-12-01,2005-12-31,price
284,142,6752,1,2006-01-01,2006-01-31,price
285,142,4502,1,2006-01-01,2006-01-31,price
286,143,6861,-1,2006-01-01,2006-01-31,price
287,143,8802,-1,2006-01-01,2006-01-31,price
288,144,6861,1,2006-02-01,2006-02-28,price
289,144,7267,1,2006-02-01,2006-02-28,price
290,145,7974,-1,2006-02-01,2006-02-28,price
291,145,6758,-1,2006-02-01,2006-02-28,price
292,146,6981,1,2006-03-01,2006-03-31,price
293,146,8802,1,2006-03-01,2006-03-31,price
294,147,7974,-1,2006-03-01,2006-03-31,price
295,147,2914,-1,2006-03-01,2006-03-31,price
296,148,4452,1,2006-04-01,2006-04-30,price
297,148,6758,1,2006-04-01,2006-04-30,price
298,149,8802,-1,2006-04-01,2006-04-30,price
299,149,6954,-1,2006-04-01,2006-04-30,price
300,150,8802,1,2006-05-01,2006-05-31,price
301,150,6954,1,2006-05-01,2006-05-31,price
302,151,7267,-1,2006-05-01,2006-05-31,price
303,151,7751,-1,2006-05-01,2006-05-31,price
304,152,6981,1,2006-06-01,2006-06-30,price
305,152,8058,1,2006-06-01,2006-06-30,price
306,153,4502,-1,2006-06-01,2006-06-30,price
307,153,7974,-1,2006-06-01,2006-06-30,price
308,154,4503,1,2006-07-01,2006-07-31,price
309,154,6752,1,2006-07-01,2006-07-31,price
310,155,7751,-1,2006-07-01,2006-07-31,price
311,155,8802,-1,2006-07-01,2006-07-31,price
312,156,6861,1,2006-08-01,2006-08-31,price
313,156,6954,1,2006-08-01,2006-08-31,price
314,157,7974,-1,2006-08-01,2006-08-31,price
315,157,9022,-1,2006-08-01,2006-08-31,price
316,158,8031,1,2006-09-01,2006-09-30,price
317,158,6758,1,2006-09-01,2006-09-30,price
318,159,6981,-1,2006-09-01,2006-09-30,price
319,159,7974,-1,2006-09-01,2006-09-30,price
320,160,8031,1,2006-10-01,2006-10-31,price
321,160,6501,1,2006-10-01,2006-10-31,price
322,161,7751,-1,2006-10-01,2006-10-31,price
323,161,4063,-1,2006-10-01,2006-10-31,price
324,162,6861,1,2006-11-01,2006-11-30,price
325,162,4452,1,2006-11-01,2006-11-30,price
326,163,4503,-1,2006-11-01,2006-11-30,price
327,163,2914,-1,2006-11-01,2006-11-30,price
328,164,6752,1,2006-12-01,2006-12-31,price
329,164,6758,1,2006-12-01,2006-12-31,price
330,165,8802,-1,2006-12-01,2006-12-31,price
331,165,7974,-1,2006-12-01,2006-12-31,price
332,166,9022,1,2007-01-01,2007-01-31,price
333,166,9020,1,2007-01-01,2007-01-31,price
334,167,7203,-1,2007-01-01,2007-01-31,price
335,167,7267,-1,2007-01-01,2007-01-31,price
336,168,6861,1,2007-02-01,2007-02-28,price
337,168,7751,1,2007-02-01,2007-02-28,price
338,169,8802,-1,2007-02-01,2007-02-28,price
339,169,7974,-1,2007-02-01,2007-02-28,price
340,170,7974,1,2007-03-01,2007-03-31,price
341,170,4063,1,2007-03-01,2007-03-31,price
342,171,8031,-1,2007-03-01,2007-03-31,price
343,171,8058,-1,2007-03-01,2007-03-31,price
344,172,7267,1,2007-04-01,2007-04-30,price
345,172,6861,1,2007-04-01,2007-04-30,price
346,173,6501,-1,2007-04-01,2007-04-30,price
347,173,7974,-1,2007-04-01,2007-04-30,price
348,174,8058,1,2007-05-01,2007-05-31,price
349,174,4452,1,2007-05-01,2007-05-31,price
350,175,4063,-1,2007-05-01,2007-05-31,price
351,175,7974,-1,2007-05-01,2007-05-31,price
352,176,9022,1,2007-06-01,2007-06-30,price
353,176,6861,1,2007-06-01,2007-06-30,price
354,177,6758,-1,2007-06-01,2007-06-30,price
355,177,8058,-1,2007-06-01,2007-06-30,price
356,178,8802,1,2007-07-01,2007-07-31,price
357,178,6758,1,2007-07-01,2007-07-31,price
358,179,6981,-1,2007-07-01,2007-07-31,price
359,179,6954,-1,2007-07-01,2007-07-31,price
360,180,7751,1,2007-08-01,2007-08-31,price
361,180,6752,1,2007-08-01,2007-08-31,price
362,181,8031,-1,2007-08-01,2007-08-31,price
363,181,7974,-1,2007-08-01,2007-08-31,price
364,182,6954,1,2007-09-01,2007-09-30,price
365,182,6501,1,2007-09-01,2007-09-30,price
366,183,9022,-1,2007-09-01,2007-09-30,price
367,183,4503,-1,2007-09-01,2007-09-30,price
368,184,9022,1,2007-10-01,2007-10-31,price
369,184,7751,1,2007-10-01,2007-10-31,price
370,185,8058,-1,2007-10-01,2007-10-31,price
371,185,8031,-1,2007-10-01,2007-10-31,price
372,186,6981,1,2007-11-01,2007-11-30,price
373,186,4502,1,2007-11-01,2007-11-30,price
374,187,7267,-1,2007-11-01,2007-11-30,price
375,187,7974,-1,2007-11-01,2007-11-30,price
376,188,8031,1,2007-12-01,2007-12-31,price
377,188,7267,1,2007-12-01,2007-12-31,price
378,189,4452,-1,2007-12-01,2007-12-31,price
379,189,6758,-1,2007-12-01,2007-12-31,price
380,190,9022,1,2008-01-01,2008-01-31,price
381,190,7751,1,2008-01-01,2008-01-31,price
382,191,6861,-1,2008-01-01,2008-01-31,price
383,191,6501,-1,2008-01-01,2008-01-31,price
384,192,7974,1,2008-02-01,2008-02-29,price
385,192,4063,1,2008-02-01,2008-02-29,price
386,193,9022,-1,2008-02-01,2008-02-29,price
387,193,8802,-1,2008-02-01,2008-02-29,price
388,194,4502,1,2008-03-01,2008-03-31,price
389,194,6752,1,2008-03-01,2008-03-31,price
390,195,8031,-1,2008-03-01,2008-03-31,price
391,195,8058,-1,2008-03-01,2008-03-31,price
392,196,6501,1,2008-04-01,2008-04-30,price
393,196,6758,1,2008-04-01,2008-04-30,price
394,197,9020,-1,2008-04-01,2008-04-30,price
395,197,9022,-1,2008-04-01,2008-04-30,price
396,198,9020,1,2008-05-01,2008-05-31,price
397,198,4452,1,2008-05-01,2008-05-31,price
398,199,8802,-1,2008-05-01,2008-05-31,price
399,199,4063,-1,2008-05-01,2008-05-31,price
400,200,6861,1,2008-06-01,2008-06-30,price
401,200,6752,1,2008-06-01,2008-06-30,price
402,201,6501,-1,2008-06-01,2008-06-30,price
403,201,4502,-1,2008-06-01,2008-06-30,price
404,202,8802,1,2008-07-01,2008-07-31,price
405,202,6758,1,2008-07-01,2008-07-31,price
406,203,9020,-1,2008-07-01,2008-07-31,price
407,203,9022,-1,2008-07-01,2008-07-31,price
408,204,6954,1,2008-08-01,2008-08-31,price
409,204,8058,1,2008-08-01,2008-08-31,price
410,205,2914,-1,2008-08-01,2008-08-31,price
411,205,8802,-1,2008-08-01,2008-08-31,price
412,206,8031,1,2008-09-01,2008-09-30,price
413,206,4063,1,2008-09-01,2008-09-30,price
414,207,6981,-1,2008-09-01,2008-09-30,price
415,207,4452,-1,2008-09-01,2008-09-30,price
416,208,8031,1,2008-10-01,2008-10-31,price
417,208,8058,1,2008-10-01,2008-10-31,price
418,209,6861,-1,2008-10-01,2008-10-31,price
419,209,6954,-1,2008-10-01,2008-10-31,price
420,210,6501,1,2008-11-01,2008-11-30,price
421,210,8031,1,2008-11-01,2008-11-30,price
422,211,4452,-1,2008-11-01,2008-11-30,price
423,211,4063,-1,2008-11-01,2008-11-30,price
424,212,4063,1,2008-12-01,2008-12-31,price
425,212,8058,1,2008-12-01,2008-12-31,price
426,213,2914,-1,2008-12-01,2008-12-31,price
427,213,9020,-1,2008-12-01,2008-12-31,price
428,214,6501,1,2009-01-01,2009-01-31,price
429,214,2914,1,2009-01-01,2009-01-31,price
430,215,7974,-1,2009-01-01,2009-01-31,price
431,215,6861,-1,2009-01-01,2009-01-31,price
432,216,4452,1,2009-02-01,2009-02-28,price
433,216,9022,1,2009-02-01,2009-02-28,price
434,217,8031,-1,2009-02-01,2009-02-28,price
435,217,7267,-1,2009-02-01,2009-02-28,price
436,218,8802,1,2009-03-01,2009-03-31,price
437,218,6501,1,2009-03-01,2009-03-31,price
438,219,7267,-1,2009-03-01,2009-03-31,price
439,219,6954,-1,2009-03-01,2009-03-31,price
440,220,4502,1,2009-04-01,2009-04-30,price
441,220,9020,1,2009-04-01,2009-04-30,price
442,221,2914,-1,2009-04-01,2009-04-30,price
443,221,6758,-1,2009-04-01,2009-04-30,price
444,222,7974,1,2009-05-01,2009-05-31,price
445,222,2914,1,2009-05-01,2009-05-31,price
446,223,6501,-1,2009-05-01,2009-05-31,price
447,223,6752,-1,2009-05-01,2009-05-31,price
448,224,6501,1,2009-06-01,2009-06-30,price
449,224,7267,1,2009-06-01,2009-06-30,price
450,225,2914,-1,2009-06-01,2009-06-30,price
451,225,8802,-1,2009-06-01,2009-06-30,price
452,226,8031,1,2009-07-01,2009-07-31,price
453,226,4063,1,2009-07-01,2009-07-31,price
454,227,8802,-1,2009-07-01,2009-07-31,price
455,227,2914,-1,2009-07-01,2009-07-31,price
456,228,9020,1,2009-08-01,2009-08-31,price
457,228,2914,1,2009-08-01,2009-08-31,price
458,229,7267,-1,2009-08-01,2009-08-31,price
459,229,6752,-1,2009-08-01,2009-08-31,price
460,230,6758,1,2009-09-01,2009-09-30,price
461,230,7267,1,2009-09-01,2009-09-30,price
462,231,9022,-1,2009-09-01,2009-09-30,price
463,231,9020,-1,2009-09-01,2009-09-30,price
464,232,6501,1,2009-10-01,2009-10-31,price
465,232,6752,1,2009-10-01,2009-10-31,price
466,233,9020,-1,2009-10-01,2009-10-31,price
467,233,2914,-1,2009-10-01,2009-10-31,price
468,234,2914,1,2009-11-01,2009-11-30,price
469,234,4452,1,2009-11-01,2009-11-30,price
470,235,6758,-1,2009-11-01,2009-11-30,price
471,235,8058,-1,2009-11-01,2009-11-30,price
472,236,6501,1,2009-12-01,2009-12-31,price
473,236,6758,1,2009-12-01,2009-12-31,price
474,237,4452,-1,2009-12-01,2009-12-31,price
475,237,9020,-1,2009-12-01,2009-12-31,price
476,238,9020,1,2010-01-01,2010-01-31,price
477,238,4452,1,2010-01-01,2010-01-31,price
478,239,6501,-1,2010-01-01,2010-01-31,price
479,239,2914,-1,2010-01-01,2010-01-31,price
480,240,7203,1,2010-02-01,2010-02-28,price
481,240,7751,1,2010-02-01,2010-02-28,price
482,241,6758,-1,2010-02-01,2010-02-28,price
483,241,7974,-1,2010-02-01,2010-02-28,price
484,242,6752,1,2010-03-01,2010-03-31,price
485,242,7974,1,2010-03-01,2010-03-31,price
486,243,7751,-1,2010-03-01,2010-03-31,price
487,243,8031,-1,2010-03-01,2010-03-31,price
488,244,4503,1,2010-04-01,2010-04-30,price
489,244,4502,1,2010-04-01,2010-04-30,price
490,245,6758,-1,2010-04-01,2010-04-30,price
491,245,7974,-1,2010-04-01,2010-04-30,price
492,246,8031,1,2010-05-01,2010-05-31,price
493,246,8058,1,2010-05-01,2010-05-31,price
494,247,8802,-1,2010-05-01,2010-05-31,price
495,247,6501,-1,2010-05-01,2010-05-31,price
496,248,6981,1,2010-06-01,2010-06-30,price
497,248,8802,1,2010-06-01,2010-06-30,price
498,249,4502,-1,2010-06-01,2010-06-30,price
499,249,9022,-1,2010-06-01,2010-06-30,price
500,250,8031,1,2010-07-01,2010-07-31,price
501,250,6758,1,2010-07-01,2010-07-31,price
502,251,4452,-1,2010-07-01,2010-07-31,price
503,251,6954,-1,2010-07-01,2010-07-31,price
504,252,7974,1,2010-08-01,2010-08-31,price
505,252,9020,1,2010-08-01,2010-08-31,price
506,253,7751,-1,2010-08-01,2010-08-31,price
507,253,6758,-1,2010-08-01,2010-08-31,price
508,254,6861,1,2010-09-01,2010-09-30,price
509,254,6758,1,2010-09-01,2010-09-30,price
510,255,7267,-1,2010-09-01,2010-09-30,price
511,255,8802,-1,2010-09-01,2010-09-30,price
512,256,7974,1,2010-10-01,2010-10-31,price
513,256,9022,1,2010-10-01,2010-10-31,price
514,257,8031,-1,2010-10-01,2010-10-31,price
515,257,6954,-1,2010-10-01,2010-10-31,price
516,258,2914,1,2010-11-01,2010-11-30,price
517,258,7751,1,2010-11-01,2010-11-30,price
518,259,6861,-1,2010-11-01,2010-11-30,price
519,259,6954,-1,2010-11-01,2010-11-30,price
520,260,4503,1,2010-12-01,2010-12-31,price
521,260,8802,1,2010-12-01,2010-12-31,price
522,261,7203,-1,2010-12-01,2010-12-31,price
523,261,6981,-1,2010-12-01,2010-12-31,price
524,262,6752,1,2011-01-01,2011-01-31,price
525,262,6758,1,2011-01-01,2011-01-31,price
526,263,6861,-1,2011-01-01,2011-01-31,price
527,263,6981,-1,2011-01-01,2011-01-31,price
528,264,6861,1,2011-02-01,2011-02-28,price
529,264,7974,1,2011-02-01,2011-02-28,price
530,265,7267,-1,2011-02-01,2011-02-28,price
531,265,6981,-1,2011-02-01,2011-02-28,price
532,266,6954,1,2011-03-01,2011-03-31,price
533,266,6752,1,2011-03-01,2011-03-31,price
534,267,8802,-1,2011-03-01,2011-03-31,price
535,267,7203,-1,2011-03-01,2011-03-31,price
536,268,9020,1,2011-04-01,2011-04-30,price
537,268,8802,1,2011-04-01,2011-04-30,price
538,269,8031,-1,2011-04-01,2011-04-30,price
539,269,8058,-1,2011-04-01,2011-04-30,price
540,270,6758,1,2011-05-01,2011-05-31,price
541,270,7974,1,2011-05-01,2011-05-31,price
542,271,2914,-1,2011-05-01,2011-05-31,price
543,271,6954,-1,2011-05-01,2011-05-31,price
544,272,6981,1,2011-06-01,2011-06-30,price
545,272,6954,1,2011-06-01,2011-06-30,price
546,273,9020,-1,2011-06-01,2011-06-30,price
